"","BLM_Name","Address_1","Address_2","City","State","Zip_Code","Latitude","Longitude","Phone_Number","Description","Directions","Activities","address","ContactRegion","CAMPING","WATER SPORTS","ENVIRONMENTAL EDUCATION","NON-MOTORIZED BOATING","DAY USE AREA","PADDLE BOATING","WATER ACCESS","RAFTING","WHITEWATER RAFTING","BIRDING","BACKPACKING","INTERPRETIVE PROGRAMS","WILDLIFE VIEWING","FISHING","BOATING","HORSEBACK RIDING","HIKING","OFF HIGHWAY VEHICLE","RECREATIONAL VEHICLES","SENIC DRIVE","PHOTOGRAPHY","CLIMBING","HUNTING","WILDERNESS","INFORMATION SITE","PICNICKING","attraction","contactRegion","Description_Length","Description_Length_Words","Direction_Length","Direction_Length_Words"
"38","Deep Creek Day Use Area ","Colorado River Valley Field Office","2300 River Frontage Road","Silt","Colorado","81652",39.67207,-107.08494,"(970) 876-9000","Deep Creek canyon has outstanding scenic qualities related to the sheer-walled canyon, water resources, and riparian vegetation.  The Deep Creek area has 5 sites that have picnic tables and fire rings.  Camp at designated marked campsites only.  Must pack out human waste or use the vault toilet a bit farther up the road.  No cat holes are allowed due to the proximity of the creek to the sites.  Follow White-Nose Syndrome decontamination protocol if exploring underground in the area.","Take the Dotsero exit off I-70 (exit 133). Head north on the Colorado River Road 1.6 miles to the Coffee Pot Road #600 National Forrest Access on the left.  There is a BLM Deep Creek Campground sign at the turn.   The recreation area is 1 mile up the road; respect posted private property. Call the field office for more details.","PICNICKING HIKING WILDLIFE VIEWING","Colorado River Valley Field Office 2300 River Frontage Road",11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,"Day Use Area",11,487,81,329,61
"39","Dinosaur Hill Trailhead ",NA,NA,"Fruita",NA,"81521",39.13284,-108.73598,"970-244-3000","The Dinosaur Hill Trail is a 1-mile loop with a moderate grade and several switchbacks, climbing about 150 feet from the trailhead to the summit. The surface is mostly packed dirt with occasional rocky sections. The trail winds through classic high-desert terrain dominated by juniper, sagebrush, and rabbitbrush, and offers sweeping views of the Grand Valley, the Colorado River, and the Book Cliffs. Geologically, the area is part of the Morrison Formation, a sedimentary layer rich in Jurassic fossils and known for its striking clay and sandstone outcrops.Dinosaur Hill is famous for its paleontological significance. In 1901, Elmer Riggs of the Chicago Field Museum excavated a nearly complete Apatosaurus skeleton here, one of the most important dinosaur finds of its time. Interpretive signs along the trail explain the excavation process and the science behind fossil preservation in the Morrison Formation. Visitors can view the original quarry site and casts of the fossil femur, and learn how discoveries from this hill helped shape our understanding of Jurassic ecosystems.Hours and SeasonsOpen year-round.Features and ServicesFacilities: Picnic tables and a shelter are available at the trailhead.Access and Parking: The large, gravel parking lot accommodates cars, trailers, and RVs.Cell Service: Generally available, though may be intermittent.Toilets: Pit toilets are located at the trailhead parking area.Drinking Water: No potable water is available on site – bring your own.Pets: Allowed on leash.Camping: The trailhead and trail are day-use only. Public and private campgrounds are available nearby.Nearby Amenities: Fruita and Grand Junction offer full services including lodging, gas, food, and medical facilities. Respect and ProtectPaleontological sites are sensitive and important to protect. By practicing responsible outdoor ethics, you help ensure future visitors can enjoy this remarkable site.","From the Interstate 70 exit for Fruita, go south on Colorado Highway 340 E / Broadway for ~1.5 miles. Turn left into the signed parking area. ","HIKING HISTORIC & CULTURAL SITE PICNICKING",NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"Trail",17,1923,282,142,25
"40","Dispersed-White River ","White River Field Office"," 220 E. Market Street","Meeker","Colorado","81641",40.07501389,-108.8875,"970-878-3800","Extensive public lands through the White River Field Office provide outstanding opportunities for big game hunting and dispersed camping. For more information, please contact the White River Field Office.","To access the Big Trujillo River Take Out-Put In Site travel Rangely, CO. Then travel south off State Highway 64 near the Loaf N Jug gas station on the west side of town onto River Rd, which becomes County Road 2. Travel approx. 5 miles on County Road 2 and turn right on a dirt road just past the Entering Public Lands sign. Travel approx. 0.1 mile to the river access site which includes a parking area and easy river take-out/put-in site.","BOATING","White River Field Office  220 E. Market Street",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Normal",23,204,29,441,86
"41","Dolores River (CO) ","Tres Rios Field Office","29211 Highway 184","Dolores","Colorado","81323",38.41898,-108.82175,"(435) 259-2100","The lower stretch of the Dolores River offers technical rapids, stunning scenery, wildlife viewing, side-canyon hiking, and great camping. A free permit is required. Groups must read and adhere to all stipulations of the permit. Go to Recreation.gov to secure a free permit for floating the Dolores River. https://www.recreation.gov/permits/621749Rapids on this section of the Dolores River range from class I to class IV. The most challenging rapid is Stateline (class IV), which is at the Colorado-Utah border. This mile-long rock garden requires excellent scouting (from river right) and quick maneuvering at all water levels. A mistake made in this this rapid can result in a very long and dangerous swim. Many groups put in smaller craft below this rapid. Bring an adequate amount of drinking water as the Dolores and its tributaries are unfit for human consumption. Land ownership on the Lower Dolores is mixed; please respect the rights of private landowners.The main roadblock for running this stretch is a very erratic and short (sometimes non-existent) boating season. Flows generally peak between late April and early May. Suggested minimum flows (approximated) are: 200 cfs for canoes, kayaks, and duckies, 800 cfs for rafts less than 14 feet, and 1000 cfs for rafts larger than 14 feet. Current streamflow conditions are available on the U.S. Geological Survey website. For information on current levels at McPhee Reservoir, please visit the Dolores Water Conservancy District (DWCD) website.Private permits: There is no fee charged and you do not need to submit an application. Simply call (435) 259-7012 (Moab) or (970) 247-4874 (Tres Rios) between 8 a.m. and noon Monday through Friday (excluding Federal holidays) to obtain a permit. A last-minute reservation request or change to an existing permit can be easily accommodated if you have access to a fax machine. Please note that the permit must be signed by the trip leader and carried on the river to be authorized. By signing, the trip leader agrees to follow the River Use Stipulations that accompany the permit. Please leave your permit in the camp fee tube at the Dewey Bridge campground at the end of your trip. If you have questions, please call (435) 259-7012 (Moab) or 970) 247-4874 (Tres Rios)","From Cortez, travel 30 miles north on US Hwy 666. The put-in is at Bradfield Bridge Recreation Site, 6 miles east of Cahone. From Grand Junction, travel south 16 miles on US Hwy 550 to Whitewater, then west 44 miles on CO Hwy 141 to Gateway and the river.","RAFTING WHITEWATER RAFTING","Tres Rios Field Office 29211 Highway 184",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal",1,2272,378,255,50
"42","Dolores River Overlook ","Tres Rios Field Office","29211 Highway 184","Dolores","Colorado","81323",37.80525,-108.79377,"970-882-7296","The Dolores River Overlook has 6 individual walk-in camp/picnic sites, as well as one walk-in group site (3 tables and rings). There is a vault restroom at the parking area and no other camping facilities. The views of the Dolores River Canyon from this Ponderosa Pine dominated site are amazing. A short walk to down the overlook trail (includes rock steps) to the end of the ridge is well worth the effort! 

There is no fee at this site, and camping is on a first come, first served basis. The main use of this recreation site is for day use, though it is well suited to tent camping. While never busy, hunting season is when this site is visited most often. For more information, please contact the Tres Rios Field Office. 
","When traveling US Highway 491, turn east on CR J, just south of Dove Creek. Stay left on Road J at a ""Y"" in the road (at about 2.4 miles from highway). Two miles from the ""Y"", stay straight on Road J as it becomes a dirt road. Turn north (left) off of Road J after 2 Ѕ mils on the dirt road (there is a small reservoir/stock pond here, and the Montezuma County Road Map shows this as Road 15). The overlook is at the end of this 3 Ѕ mile road.
","CLIMBING HIKING PICNICKING","Tres Rios Field Office 29211 Highway 184",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,"Normal",26,728,134,444,94
"43","Dolores River SRMA ","Uncompahgre Field Office: 2465 South Townsend Avenue","Montorese, 81401","Dolores","Colorado","81323",37.65015,-108.73666,"TRFO: 970-882-7296 or UFO: 970-240-5300","This 102 mile stretch of river carves its way through broad valleys and incised canyons with sheer canyon walls. The river passes through multiple 'special areas' including a Wilderness Study Area, a Special Recreation Management Area, and Lands managed for Wilderness Characteristics. Whitewater boating ranges from flatwater to Class IV rapids (Snaggletooth Rapid), with access points at Bradfield Bridge, Mountain Sheep Point, and Gypsum Valley recreation sites. Depending on private land owner approval access may also be provided at Slick Rock. The Lower Dolores is situated below McPhee Reservoir and therefore flow is based on release from the McPhee Dam. Flows can be as low as about 10cfs or as high as 5000 cfs and downstream releases are dependent upon the ability to fill the reservoir. Ideal boatable flows are at least 200 cfs for canoes and kayaks, 800 cfs for rafts up 14 feet, and 1,000 cfs for rafts larger than 14 feet. The 'sweet spot' is generally considered to be between about 1,200 cfs and 2,000 cfs. In many years, there are no boatable releases. However, if releases due occur, they are generally between the middle of April and the middle of June. For more information, please contact the Tres Rios or Uncompahgre Field Office. 
","The Bradfield Bridge Recreation Site is the furthest upstream of several access points and can be accessed from County Road R off of Highway 491 (on the northern end of the town of Cahone, Co). Turn East off of CR R and drive approximately 3 miles to County Road 16. Turn South on CR16 and drive approximately 1.25 miles to County Road S. Turn East on CR S and drive approximately 1 mile to the entrance to Bradfield Bridge Recreation Site.","BOATING","Uncompahgre Field Office: 2465 South Townsend Avenue Montorese, 81401",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"SRMA",27,1256,207,440,81
"44","Dominguez-Escalante National Conservation Area ",NA,"5524 650 Rd","Delta",NA,"81416",38.5436,-108.2548,"970-244-3000","The Dominquez-Escalante National Conservation Area includes the remote Dominguez Canyon Wilderness, recreation along the Gunnison River, and a network of off-highway vehicle trails. The conservation area allows for a wide variety of activities including hiking, boating, camping and wildlife viewing. The area also provides excellent heritage tourism opportunities, and the rugged canyons and bluffs here hold geological and paleontological resources spanning 1.4 billion years. For overnight stays, the Big Dominguez and Potholes campgrounds are available.To learn more, visit Dominguez-Escalante National Conservation Area.","Access into the Conservation Area varies by destination: Access the east side via Bridgeport Bridge: From Grand Junction, travel south on US-50, past Whitewater and Bridgeport Road. Access the north side via Dominguez Campground: From Grand Junction, travel south US-50. At Whitewater, turn right onto Highway 141 and continue to the Tabeguache Trail turnoff. Access the south side from Delta: Travel west on Highway 348 and turn right onto 25 Mesa Road/D Road.","BIKING CAMPING FISHING HIKING HORSEBACK RIDING HUNTING WATER SPORTS WILDLIFE VIEWING PHOTOGRAPHY ACCESSIBLE FACILITY OR ACTIVITY",NA,17,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,"Normal",17,625,85,461,76
"45","Dotsero Crater Rec Site ","Colorado River Valley Field Office","2300 River Frontage Road","Silt","Colorado","81652",39.6588,-107.03333,"(970) 876-9000","Dotsero Crater  is a 700-meter wide by 400-meter deep maar volcano located in Dotsero, Colorado near the junction of the Colorado River and the Eagle River. It is classified as a scoria cone with evaporitic rock, basaltic tephra, and oxidized sandstone. Erupting approximately 4200 years ago, it is the youngest volcano in Colorado.Crater caused by Dotsero eruption. the site is a point of interest for hikers. This Holocene volcano erupted in the year 2220 BCE, give or take 300 years. When Dotsero blew, it created small scoria cones that were constructed along a NNE-SSW line on either side of the maar. The eruption date is based upon radiocarbon dating of wood found underneath some of the scoria.

 It is one of the youngest eruptions in the continental U.S. and it produced an explosion crater, a lahar, and a 3-kilometer (1.9 mi) long lava flow.

 Interstate 70 cuts across the lava flow. The main industry at Dotsero for years consisted of making cinderblocks from the volcano","The site is located near Dotsero, Colorado. From Interstate Highway 70, take the Dotsero exit.  Go east along the highway access road to road 8460 and drive north on this road to the recreation site.","HIKING","Colorado River Valley Field Office 2300 River Frontage Road",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Recreation Site",11,985,169,199,35
"46","Durango SRMA ","Tres Rios Field Office","29211 Highway 184","Dolores","Colorado","81323",37.22383,-107.85656,"970-882-7296","The Durango Special Recreation Management Area is comprised of isolated parcels of public lands surrounding Durango, Colorado. Durango SRMA includes five discontinuous units that encompass 6,300 acres of land adjoining the town of Durango offering a wide range of recreational activities with plenty of hiking and mountain biking trails. Mountain bikes can be rented at shops in town.These parcels include 1) Grandview Ridge (popular for non-motorized trails), 2) Animas City Mountain (popular for non-motorized trails), 3) Skyline (popular for non-motorized trails), 4) Turtle Lake (popular for bouldering), and 5) East Animas Climbing Area (popular for technical climbing). For more information, please contact the Tres Rios Field Office.","Durango is located in southwest Colorado along the flanks of the San Juan Mountains.","CLIMBING HIKING DAY USE AREA","Tres Rios Field Office 29211 Highway 184",26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,"SRMA",26,740,110,84,14
"47","East Animas/Turtle Lake RMZ ","Tres Rios Field Office","29211 Highway 184","Dolores","Colorado","81323",37.332332,-107.882851,"970-882-7296","East Animas/ Turtle Lake provides great rock climbing opportunities close to town. It is located north of Durango and right off of the road. Mostly known for bouldering with a scattered variety of difficulties. From there you can also access the Turtle Lake cliffs, located right above the bouldering area and is less frequently visited. The turtle lake cliffs have a variety of routes to choose from. For more information, please contact the Tres Rios Field Office.","To reach Turtle Lake, travel north through Durango on Main Street/Highway 550.  Turn West on Road 25 (to Junction Creek). Drive 3 miles to County Road 205.  Turn north (right) on CR 205 and drive approximately 1 mile to the climbing area. The area is not marked/signed.  Look for the boulders and access trail on the NW (left) side of CR 205. After passing the lake you will see the bouldering area of Turtle Lake on your left, and you'll know you're there. Follow the trail to the cliff band that is west above the bouldering.

To reach the East Animas Climbing area, travel north through Durango on Main Street/Highway 550.  Turn East on 15th Street which will become the Florida Road after 2 blocks.  Follow the Florida Road Northeast 2 miles to County Road 250.Turn north (left) on CR250 and drive approximately 1.75 miles.  A parking area/trailhead will be on the north (right) side of the road. Follow the trail to the cliff band that is west above the bouldering.
","CLIMBING","Tres Rios Field Office 29211 Highway 184",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"RMZ",26,466,77,971,176
"48","Emerald Mountain ","Bureau of Land Management","Little Snake Field Office","Craig","Colorado","81625",40.45469,-106.91795,"(970) 826-5000","This day-use only recreation area located near Steamboat Springs provides opportunities for hiking, horseback riding and mountain biking in the summer as well as moderately challenging Nordic and back-country skiing in the winter. The Howelson Hill Ski Area, which gave Steamboat Springs the name “Ski Town USA,” adjoins
Emerald Mountain and provides additional trails. The trails within Emerald Mountain provide views of Mt. Werner, Sleeping Giant Mountain and other scenic icons of the Yampa Valley while meandering through Gambel oak, aspens, sage, and pine
forests. A seasonal closure is in effect December 1-June 30 to protect wintering and calving elk within the area south of Ridge Trail. The trails winding through Emerald Mountain Recreation Area are excellent for mountain biking, hiking, and horseback riding. Visitors can also enjoy Nordic skiing.Emerald is managed as two separate Zones. Zone 1- strenuous activities and Zone 2 - nature experience. No mountain bikes allowed in Zone 2. Zone 2 and trails south of Ridge Trail closed Dec. 1 - June 30 for wintering elk. Maps & Brochures Available from the BLM. ","Emerald Mountain is a complex singletrack network of trails that is accessible directly from downtown Steamboat Springs.","BIKING HIKING HORSEBACK RIDING","Bureau of Land Management Little Snake Field Office",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Normal",10,1122,177,120,17
"49","Flat-Top Peach Valley ","Uncompahgre Field Office","2465 South Townsend Avenue","Montrose","Colorado","81140",38.52131,-107.85916,"970-240-5300","Flat Top-Peach Valley is an upland desert landscape within Gunnison Gorge National Conservation Area. It is most popular for mountain biking and off-highway vehicle use, and enthusiasts can enjoy a variety of routes The area features two off-highway vehicle play areas, an ATV and motorcycle site, and a beginner riding area.","From Montrose Colorado, drive north on Highway 50 about 9 miles, turn east on (right) on Falcon road. Falcon road turns into Peach Valley Road. Continue about 4 miles toward the OHV area. there are approximately 75 miles of trails","BIKING CAMPING HIKING HORSEBACK RIDING","Uncompahgre Field Office 2465 South Townsend Avenue",16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"Normal",16,325,54,230,40
"50","Fruita Paleo Area ","Fruita Paleo Loop Trailhead",NA,"Fruita","Colorado","81521",39.151,-108.764,"970-244-3000","The Fruita Paleo Area features a half‑mile interpretive trail that winds through high‑desert terrain dotted with juniper, sagebrush, and rabbitbrush. The packed dirt path is designed for foot traffic only and offers sweeping views of the Grand Valley and surrounding mesas. Along the way, visitors encounter interpretive panels and artwork that bring the Jurassic world to life.This site is renowned for its paleontological importance. Fossils discovered here include bones from sauropods like Apatosaurus and Camarasaurus, as well as smaller dinosaurs and other prehistoric species that thrived about 150 million years ago. These finds have helped scientists understand Jurassic ecosystems and the processes that preserved these remains in stone. In addition to fossils, the trail leads to the historic Skinner Cabin, connecting visitors to the human history of early settlement in the region. Together, these features make the Fruita Paleo Area an outdoor museum of both deep geologic time and cultural heritage.Hours and SeasonsOpen year-round.Features and ServicesFacilities: Interpretive panels and artistic displays along the trail; benches and picnic tables at the trailhead.Access and Parking: Gravel lot accommodates cars, trailers, and RVs at the trailhead.Cell Service: Generally available, though may be intermittent.Toilets: Pit toilets are located at the trailhead parking area.Drinking Water: No potable water is available on site – bring your own.Pets: Allowed on leash.Camping: The trailhead and trail are day-use only. Developed campground are available nearby.Nearby Amenities: Fruita and Grand Junction offer full services including lodging, gas, food, and medical facilities.Respect and ProtectDinosaur tracks are trace fossils and protected; viewing and photography are welcome, but removing, casting, or defacing vertebrate fossils is prohibited. By practicing responsible outdoor ethics, you help ensure future visitors can enjoy this remarkable site.","From Interstate 70, take the Fruita Exit, go south on Colorado Highway 340 E / Broadway for ~1.5 miles. Turn right onto Kingsview Road, which turns into Horsethief Canyon Road. After ~2.2 miles, the Fruita Paleo Area trailhead will be on your left – watch for signs. ","HIKING DAY USE AREA INFORMATION SITE ENVIRONMENTAL EDUCATION HISTORIC & CULTURAL SITE",NA,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"Normal",17,1975,281,267,45
"51","Gateway ","Grand Junction Field Office","2815 H road","Grand Junction","Colorado","81506",36.66074,-108.9561,"(970) 244-3000","Spectacular red-walled canyons line the Dolores River’s winding course through the heart of the Gateway area. A scenic and historic byway and two Wilderness Study Areas found here brim with breathtaking scenery, cultural history and fascinating geology. Miles of all-terrain vehicle and OHV routes also provide spectacular riding
through historic uranium mining country. The area also offers opportunities for canyoneering and hiking. Commercially-outfitted services for climbing, horseback riding and other diverse activities; a world class adventure center; and a museum are also nearby.","From Grand Junction, take Highway 141/Highway 50  south to the community of Whitewater. From there, take highway 141 southwest towards the community of Gateway","OFF HIGHWAY VEHICLES SECENIC DRIVE HIKING CLIMBING HORESEBACK RIDING INFORMATION SITE","Grand Junction Field Office 2815 H road",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,"Normal",6,589,86,159,25
"52","Gold Belt Recreation Management Area ","Royal Gorge Field Office","3028 E. Main Street","Canon City","Colorado","81212",38.44606,-105.19255,"719-269-8500","The Gold Belt Tour National Scenic Byway retraces the historic travel routes for the World’s Greatest Gold Camp, Cripple Creek. Travel on a historic, narrow-gauge railroad bed, an old stage road, and a county road on the Byway. The three legs of the route, which form a loop, have a total length of about 131 miles of historic sites, museums and recreation sites. For more information, please contact the Royal Gorge Field Office.","The Byway is located just 1 hour from Colorado Springs or Pueblo, Colorado.  From the north, it can be reached from U.S. Highway 24; the southern end can be reached from U.S. Highway 50.","BIKING CLIMBING CAMPING INTERPRETIVE PROGRAMS FISHING HIKING HORSEBACK RIDING HUNTING PICNICKING WATER SPORTS WILDLIFE VIEWING","Royal Gorge Field Office 3028 E. Main Street",14,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,"Management Area",14,430,74,186,34
"53","Grand Valley Open OHV Area ","Grand Valley OHV Recreation Area","27 and 1/4 Rd","Grand Junction","Colorado","81506",39.065,-108.707,"970-244-3000","Grand Valley Open OHV Area provides opportunities for cross-country motorized recreation and time with family and friends, including camping. The western boundary of the Open Area is 27 1/4 Road.","Several access points on the northeast end of the Grand Valley.","CAMPING OFF HIGHWAY VEHICLE",NA,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"OHV",17,195,32,63,11
"54","Guffey Gorge / Paradise Cove ","Royal Gorge Field Office","3028 E. Main Street","Caсon City","Colorado","81212",38.76865,-105.33603,"(719) 269-8500","Guffey Gorge Day-Use Area, also referred to as Paradise Cove, is a popular recreation fee site located in southern Park County. Tucked within a rural, agricultural setting, Guffey Gorge is an 80 acre parcel of land located twelve miles away from Guffey, Colorado's town center. A  mile hike along West Fourmile Creek takes visitors through impressive rock features, wildflower meadows, and, upon entering the gorge, a ponderosa pine forest. After a steep descent down a hill, visitors can enjoy the small swimming hole that is bordered by rock walls and is fed by a cascade. The recreation site is day-use only fee site ($6.00/day) and provides a parking area for vehicles, an informational kiosk, vault toilets, and trash service during the summer months. Visitors are encouraged to be mindful of other visitors experiences and to pack out all trash. Possession of alcohol is prohibited, no amplified music; pets are required to be on leash, and visitors must park in the designated parking area. There is no overnight camping or campfires allowed, and no  portable fire grills, and glass is prohibited for visitor safety. It is illegal to park on the county road. For more information, please contact the Royal Gorge Field Office.  ","From Canon City, travel west on US Hwy 50 for approximately 10 miles turning north (right) onto CO Hwy 9. Travel 9 miles and turn right onto County Road 11 (High Park Road). Continue about 18 miles to Teller County Road 112. Turn left onto CR 112 and continue approximately 3 miles. Guffey Gorge is on the right side. DIRECTIONS: From Colorado Springs, travel west on US Hwy 24 for about 25 miles. Turn left onto CR 42/Twin Rocks Rd and drive 6 miles. Turn left onto Teller CR 1 and drive 6 miles. Turn right onto CR 11 for 4 miles. Turn right onto Teller CR 112 and continue approximately 3 miles. Guffey Gorge is on the right side.","CLIMBING FISHING HIKING WILDLIFE VIEWING DAY USE AREA SWIMMING SITE","Royal Gorge Field Office 3028 E. Main Street",3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,"Normal",3,1234,205,633,121
"55","Gunnison ","Hartman Rocks Recreation Area","73 columbine Rd","Gunnison","Colorado","81230",38.50575,-106.94048,"(970) 642-4940","The Gunnison Area includes the very popular Hartman Rocks recreation use area just a few miles SW of Gunnison. It consists of 160 acres at the ""Base Area"" managed by the City and County of Gunnison as well as an adjacent 8,000 acres of federal land managed by the BLM. It’s a paradise of desert mountain biking, hiking, motorcycling, rock climbing, horseback riding, trail running, and Nordic skiing. With miles of trails and roads maintained by the BLM and local Gunnison recreation groups, Hartman’s is one of western Colorado’s best kept secrets. With 40 miles of singletrack trails and 33 miles of road open to biking, beginning to advanced riders can find great trails to learn on. Newly added adaptive hand cycling trails and some wider single track trails provide great opportunities for hand cyclists who want to challenge themselves with fun berms and rollers. Hikers and trail runners can enjoy these same trails or branch out onto other trails.

Named Hartman Rocks for the granite ridge that dominates the area, climbing routes and sites abound. Bolting is allowed, but climbers are encouraged to practice clean climbing whenever possible. Motor sports enthusiasts will enjoy motorcycling on 39 miles of trails and 33 miles of roads, and 4 wheel drive vehicles/ATVs can explore the roads. Trail maps are available. During the winter, Nordic skiers take advantage of 16 miles of trails maintained by Gunnison Nordic Club. Both classic and skate skiing options exist. When there is enough snow, snowmobiling on groomed trails and roads can be a great way to experience Hartman Rocks. Local groups are working to establish similar options for fat bikers. Now it’s mostly trails that are packed down and ridden in by snow shoes and more experienced fat bikers. The local bike shops can give you tips on where to ride.
","Entrances are located off of State highway 32 and from State Highway 38.","BIKING HIKING CLIMBING HORSEBACK RIDING ",NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,"Normal",8,1826,305,72,13
"56","Gunnison Forks Day Use Area ","Gunnison Gorge National Conservation Area","2505 South Townsend Avenue","Montrose","Colorado","81401",38.78475,-107.83655,"970-240-5300","The Gunnison Forks Day Use Site at the northern end of the national conservation area provides easy walk-in river access, a natural surface (river rock) boat ramp, picnic tables with shelters, restroom, and a sanitation dump station. Camping is not allowed at the site; however, camping is provided at the private Gunnison River Pleasure Park located adjacent to the BLM area. The Pleasure Park also provides parking, boat ramp, restrooms, showers, and eating facilities in addition to river shuttles, raft rental, and other commercial services. For more information, contact the Gunnison Gorge National Conservation Area or Uncompahgre Field Office.","Turn south off Hwy 92 onto 28.10 Rd. Look for the Gunnison Gorge Pleasure Park sign on the corner. Follow 2810 Rd. to the end and park your vehicle(s) in the BLM parking lot. Walk to the North Fork River.","PICNICKING DAY USE AREA","Gunnison Gorge National Conservation Area 2505 South Townsend Avenue",16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Day Use Area",16,650,100,204,41
"57","Gunnison Gorge Wilderness ","Uncompahgre Field Office","2465 South Townsend Avenue","Montrose","Colorado","81401",38.670735,-107.832726,"970-240-5300","The Gunnison Gorge Wilderness offers a wild and pristine backcountry experience, with its unique black granite and colorful sandstone double-canyon system carved by the Gunnison River. Fourteen miles of the Gunnison River flow through this wilderness area, offering diverse and abundant recreation opportunities. The area, known for its exceptional and challenging whitewater boating, also features world class gold medal trout waters. The Gunnison Gorge Wilderness contains a total of 17,700 acres and is managed by the Bureau of Land Management. In 1999, Congress designated the Gunnison Gorge Wilderness, and it became part of the National Wilderness Preservation System. Visitors can enjoy challenging recreational activities and extraordinary opportunities for solitude. In an age of ""...increasing population, accompanied by expanding settlement and growing mechanization,..."" you play an important role in helping to ""...secure for the American people of present and future generations the benefits of an enduring resource of wilderness"" as called for by Congress in the Wilderness Act of 1964 When visiting public lands, please follow Leave No Trace Principles 
When visiting designated Wilderness, please follow the wilderness regulations outlined below. Regulations:Self-issued permits are required in the wilderness (see use fee description for more information and to purchase day use passes online).  Motorized and mechanized modes of travel (bicycles, dirt bikes, side-by-sides, wheeled carts, motorboats, and vehicles) are prohibited on all federal lands designated as wilderness.  Visitors must sign in at trailheads.  Maximum group size is 12 people.  Maximum length of stay is 3 days/2 nights.  Camping is allowed in the designated sites only along the river, on a first-come, first-served basis. Campsites are NOT reservable in advance.  You may purchase camping permits (cash or check only) at the wilderness trailheads when you arrive by following the instructions on the kiosks.  You may not cut, collect, or use live, dead, or downed wood for campfires. Stoves, grills, and/or firepans with charcoal are required.  Pack out all trash (including coals and ashes) and bring it home with you.  An EPA-approved carry out system is required for human waste. You may not bury human waste in the wilderness.  Dogs are welcomed in the wilderness, under voice or physical control.  To learn more about boating the Gunnison River through the wilderness, refer to Gunnison Gorge River Guide   Additional Information:  Always be prepared by carrying a map, compass and GPS, extra water, food, first aid kit, rain gear, and warm clothing. Tell someone where you are going and when you expect to return, or travel with a group. Be prepared for changing weather. Dial 911 in the event of an emergency, but do not count on cell coverage in all places.  Access roads are primitive, unmaintained, and impassable when wet. Four-wheel-drive, high clearance vehicles are strongly recommended. Roads are not suitable for pull-behind campers or trailers.  A Special Recreation Permit is required for all commercial uses such as outfitters or organized group guided trips where there is a fee charged. Contact Information:MANAGER GUNNISON GORGE NCA & WILDERNESS: S. Edd Franz2465 South Townsend AvenueMontrose, CO 81401Phone: (970) 240-5300 ","Peach Valley Road provides access to all four Wilderness trailheads - Chukar, Ute, Duncan, and Bobcat. Follow the signs to the Chukar Road turnoff, which leads to the Chukar trailhead. Follow Peach Valley Road north and follow signs to the three other Wilderness trailheads - Ute, Duncan, and Bobcat. Access roads are primitive, unmaintained, and impassable when wet. Four-wheel-drive, high clearance vehicles are strongly recommended. Roads are not suitable for pull-behind campers or trailers.","WILDERNESS BOATING CAMPING FISHING HIKING WATER SPORTS","Uncompahgre Field Office 2465 South Townsend Avenue",16,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,"Wilderness",16,3340,516,495,75
